example_id,text,intent
GREE-001,how do I say hello,greeting
GREE-002,how do I start a conversation,greeting
GREE-003,how do I get help from campus chat,greeting
GREE-004,how do I ask the assistant a question,greeting
GREE-005,how do I greet the campus assistant,greeting
GREE-006,how do I begin chatting,greeting
GREE-007,how do I introduce yourself,greeting
GREE-008,where can I say hello,greeting
GREE-009,where can I start a conversation,greeting
GREE-010,where can I get help from campus chat,greeting
GREE-011,where can I ask the assistant a question,greeting
GREE-012,where can I greet the campus assistant,greeting
GREE-013,where can I begin chatting,greeting
GREE-014,where can I introduce yourself,greeting
GREE-015,can you help me say hello,greeting
GREE-016,can you help me start a conversation,greeting
GREE-017,can you help me get help from campus chat,greeting
GREE-018,can you help me ask the assistant a question,greeting
GREE-019,can you help me greet the campus assistant,greeting
GREE-020,can you help me begin chatting,greeting
GREE-021,can you help me introduce yourself,greeting
GREE-022,I need information about say hello,greeting
GREE-023,I need information about start a conversation,greeting
GREE-024,I need information about get help from campus chat,greeting
GREE-025,I need information about ask the assistant a question,greeting
GREE-026,I need information about greet the campus assistant,greeting
GREE-027,I need information about begin chatting,greeting
GREE-028,I need information about introduce yourself,greeting
GREE-029,what should I know about say hello,greeting
GREE-030,what should I know about start a conversation,greeting
GREE-031,what should I know about get help from campus chat,greeting
GREE-032,what should I know about ask the assistant a question,greeting
GREE-033,what should I know about greet the campus assistant,greeting
GREE-034,what should I know about begin chatting,greeting
GREE-035,what should I know about introduce yourself,greeting
GREE-036,please explain say hello,greeting
GREE-037,please explain start a conversation,greeting
GREE-038,please explain get help from campus chat,greeting
GREE-039,please explain ask the assistant a question,greeting
GREE-040,please explain greet the campus assistant,greeting
GREE-041,please explain begin chatting,greeting
GREE-042,please explain introduce yourself,greeting
GREE-043,I have a question about say hello,greeting
GREE-044,I have a question about start a conversation,greeting
GREE-045,I have a question about get help from campus chat,greeting
GREE-046,I have a question about ask the assistant a question,greeting
GREE-047,I have a question about greet the campus assistant,greeting
GREE-048,I have a question about begin chatting,greeting
GREE-049,I have a question about introduce yourself,greeting
GREE-050,tell me about say hello,greeting
GREE-051,tell me about start a conversation,greeting
GREE-052,tell me about get help from campus chat,greeting
GREE-053,tell me about ask the assistant a question,greeting
GREE-054,tell me about greet the campus assistant,greeting
GREE-055,tell me about begin chatting,greeting
GREE-056,tell me about introduce yourself,greeting
REGI-001,how do I register for classes,registration
REGI-002,how do I add a course,registration
REGI-003,how do I drop a class,registration
REGI-004,how do I use the waitlist,registration
REGI-005,how do I find my registration time,registration
REGI-006,how do I resolve a registration hold,registration
REGI-007,how do I change course sections,registration
REGI-008,how do I enroll when a class is full,registration
REGI-009,where can I register for classes,registration
REGI-010,where can I add a course,registration
REGI-011,where can I drop a class,registration
REGI-012,where can I use the waitlist,registration
REGI-013,where can I find my registration time,registration
REGI-014,where can I resolve a registration hold,registration
REGI-015,where can I change course sections,registration
REGI-016,where can I enroll when a class is full,registration
REGI-017,can you help me register for classes,registration
REGI-018,can you help me add a course,registration
REGI-019,can you help me drop a class,registration
REGI-020,can you help me use the waitlist,registration
REGI-021,can you help me find my registration time,registration
REGI-022,can you help me resolve a registration hold,registration
REGI-023,can you help me change course sections,registration
REGI-024,can you help me enroll when a class is full,registration
REGI-025,I need information about register for classes,registration
REGI-026,I need information about add a course,registration
REGI-027,I need information about drop a class,registration
REGI-028,I need information about use the waitlist,registration
REGI-029,I need information about find my registration time,registration
REGI-030,I need information about resolve a registration hold,registration
REGI-031,I need information about change course sections,registration
REGI-032,I need information about enroll when a class is full,registration
REGI-033,what should I know about register for classes,registration
REGI-034,what should I know about add a course,registration
REGI-035,what should I know about drop a class,registration
REGI-036,what should I know about use the waitlist,registration
REGI-037,what should I know about find my registration time,registration
REGI-038,what should I know about resolve a registration hold,registration
REGI-039,what should I know about change course sections,registration
REGI-040,what should I know about enroll when a class is full,registration
REGI-041,please explain register for classes,registration
REGI-042,please explain add a course,registration
REGI-043,please explain drop a class,registration
REGI-044,please explain use the waitlist,registration
REGI-045,please explain find my registration time,registration
REGI-046,please explain resolve a registration hold,registration
REGI-047,please explain change course sections,registration
REGI-048,please explain enroll when a class is full,registration
REGI-049,I have a question about register for classes,registration
REGI-050,I have a question about add a course,registration
