chunk_id,document_id,document_version,title,intent,owner,effective_date,source_url,chunk_position,chunk_text,corpus_snapshot_id,chunking_version
DOC-REG-001:2.0:c001,DOC-REG-001,2.0,Add and Drop Period,registration,Registrar,2026-01-01,https://example.edu/registration/add-drop,1,"Students may add a full-semester course through the seventh calendar day of the fall or spring term. Students may drop a full-semester course without a transcript notation through the fourteenth calendar day. After the deadline, students should contact Academic Advising to discuss options.",campus-corpus-0ccec5480a20,word-window-v1
DOC-REG-002:2.1:c001,DOC-REG-002,2.1,Course Waitlist Guidance,registration,Registrar,2026-01-05,https://example.edu/registration/waitlist,1,"A waitlist position does not guarantee enrollment. When a seat opens, eligible students are notified through university email and normally have twenty-four hours to register. Students should verify prerequisites and holds before attempting to enroll.",campus-corpus-0ccec5480a20,word-window-v1
DOC-REG-003:1.1:c001,DOC-REG-003,1.1,Registration Holds,registration,Registrar,2026-01-01,https://example.edu/registration/holds,1,Registration holds may prevent enrollment until the listed requirement is resolved. Students can view active holds in the student portal and should contact the office named on the hold for assistance.,campus-corpus-0ccec5480a20,word-window-v1
DOC-DEG-001:3.0:c001,DOC-DEG-001,3.0,Graduation Credit Requirement,degree_requirements,Academic Affairs,2026-01-01,https://example.edu/academics/graduation-requirements,1,"Undergraduate students must complete the total credits required by their academic program and satisfy all major, general education, residency, and cumulative grade requirements. The official degree audit is the primary planning tool, but students should confirm interpretation with Academic Advising.",campus-corpus-0ccec5480a20,word-window-v1
DOC-DEG-002:1.4:c001,DOC-DEG-002,1.4,Degree Audit Guidance,degree_requirements,Academic Advising,2026-01-01,https://example.edu/advising/degree-audit,1,"The degree audit shows completed, in-progress, and remaining program requirements. Students should review the audit before registration and discuss unexpected results with their academic advisor. The audit is an advising tool and does not replace final graduation review.",campus-corpus-0ccec5480a20,word-window-v1
DOC-DEG-003:1.0:c001,DOC-DEG-003,1.0,Transfer Credit Review,degree_requirements,Academic Affairs,2026-01-01,https://example.edu/academics/transfer-credit,1,Transfer credit is evaluated after official transcripts are received. Students should consult Academic Advising before selecting courses that depend on pending transfer-credit decisions.,campus-corpus-0ccec5480a20,word-window-v1
DOC-AID-001:2.0:c001,DOC-AID-001,2.0,Financial Aid Enrollment Requirement,financial_aid,Financial Aid Office,2026-01-01,https://example.edu/financial-aid/enrollment,1,Students receiving institutional need-based aid should maintain at least half-time enrollment unless an approved exception is recorded by Financial Aid. Students considering withdrawal should contact Financial Aid before changing enrollment because eligibility may change.,campus-corpus-0ccec5480a20,word-window-v1
DOC-AID-002:1.3:c001,DOC-AID-002,1.3,Financial Aid Application,financial_aid,Financial Aid Office,2026-01-01,https://example.edu/financial-aid/apply,1,Students should complete the required financial aid application each academic year and submit requested verification documents by the published deadlines. Award information appears in the student portal after review.,campus-corpus-0ccec5480a20,word-window-v1
DOC-AID-003:1.2:c001,DOC-AID-003,1.2,Dropping Courses and Aid,financial_aid,Financial Aid Office,2026-01-01,https://example.edu/financial-aid/course-changes,1,"Dropping a course may change enrollment status and financial aid eligibility. Students should consult Financial Aid before dropping or withdrawing from courses, especially if the change may reduce enrollment below full-time or half-time status.",campus-corpus-0ccec5480a20,word-window-v1
DOC-ADV-001:1.2:c001,DOC-ADV-001,1.2,Academic Advising Appointments,advising,Academic Advising,2026-01-01,https://example.edu/advising/appointments,1,"Students may schedule advising appointments through the advising portal. Bring a current degree audit, a proposed course list, and questions about prerequisites, transfer credit, graduation requirements, or academic progress.",campus-corpus-0ccec5480a20,word-window-v1
